mid,retweeted_status_mid,uid,retweeted_uid,source,image,text,geo,created_at,deleted_last_seen,permission_denied
mCClUNCqwe,mU5j0dIAkQ,uK3RXUJ0V,,新浪微博,0,转发微博,,2012-01-03 02:02:27,,
mRsOcOLTlc,mJGNX5nAmo,uK3RXUJ0V,,新浪微博,0,!!!!!!!!!@uK3RXUYW3： //@u0AGMTTVD：  ！！！！！！！！,,2012-01-03 01:17:39,,
mH44qG6iUm,mH44qL9LlF,uK3RXUJ0V,,新浪微博,0,求一切順利!!!,,2012-01-03 01:15:36,,
mZmwFtOdVX,mcyE5GR7GJ,uK3RXUJ0V,,新浪微博,0,想要><@uK3RXUYW3： //@ukn：  全都想要啊QAQ,,2012-01-03 01:12:55,,
mQkLJSl8bf,muy8VxftBB,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uMLLV3ZCO：  转发微博,,2012-01-03 01:10:42,,
mnzrsoGWNN,mNfGcUeZbK,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  吐槽点太多- -//@ukn：  竟然没被吐槽//@ukn：  [偷笑]//@ukn：  而且竟然没有人吐槽他！,,2012-01-03 01:09:54,,
m2rVkbmLsg,m7nJhJ3W6z,uK3RXUJ0V,,新浪微博,0,係時侯迫害下大家~@uK3RXUYW3： @ukn： @ukn： @uQSMQTGXO： @BOICE_yeeman,,2012-01-03 01:08:45,,
mNfG6Xsbx5,mex2cwWppM,uK3RXUJ0V,,新浪微博,0,他又抽了xdd,,2012-01-03 00:54:07,,
mCVHzsScoY,m7nJ3YBbyo,uK3RXUJ0V,,新浪微博,0,哈哈哈,,2012-01-03 00:51:52,,
mdO3bmDotD,mqUTC9xyyM,uK3RXUJ0V,,新浪微博,0,@uK3RXUYW3： //@ukn：  //@ukn：  [可怜][可怜],,2012-01-03 00:44:08,,
mu9iEJwbEt,mPoMqa8zoK,uK3RXUJ0V,,新浪微博,0,太萌了><//@uKPK1KLQA：  边叠衣服边「味覚トゥッ~」也太萌了[发嗲],,2012-01-03 00:38:10,,
mT51VdbRj7,mrMzWfd2nM,uK3RXUJ0V,,新浪微博,0,//@ukn：  ！！！,,2012-01-02 23:00:13,,
m3zb0aii82,mSazECdURr,uK3RXUJ0V,,新浪微博,0,霸气~//@ukn：  [太開心]//@uW0ECUEMG：  [good]//@ukn：  噗 //@uJWAI1YNJ： 好霸气。。 // @uCBTBLHPS： :すげー // @ukn： :XD明天真的满满arashi,,2012-01-02 22:58:52,,
m2X81ImxzY,m9hq3KZgSv,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uOQZ5JAJB：  5.利达从头到尾都很紧张的样子，让看着的我都担心起来。除了要好好的完成自己的任务，有时候还要替歌手的讲话圆场。感受到了利达的紧张，nino在中途拍拍利达给他安慰。利达一定觉得安心了不少吧~6.迷宫。虽然磁石组一直抑制着，但还是互相眼神传情，颔首示意,,2012-01-02 22:51:06,,
mT51V7GBde,mvIdeMIjOE,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  //@uVEQEW1R2：  //@ukn：  [心][心][心],,2012-01-02 22:47:58,,
mkTNeH9MoL,mBcY0O532e,uK3RXUJ0V,,新浪微博,0,//@ukn：  美[花心]//@ukn：  @ukn： //@ukn：  //@uB4HSJ0XZ：  帅啊~~~[花心]//@ukn：  转发微博,,2012-01-02 20:46:42,,
mF8MzSG9OE,mgYszKvajx,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uW0EHZTCF：  年末真好看//@ukn：  转发微博,,2012-01-02 20:43:18,,
mZmwkRxlwt,m0kxhFBFkM,uK3RXUJ0V,,新浪微博,0,"//@uJWAA50NU：  這part我看不下十次了, 覺得比逃走更好笑XDD",,2012-01-02 20:02:12,,
m6Epkl3168,m7dAWAWsRt,uK3RXUJ0V,,新浪微博,0,噗...//@ukn：  //@ukn：  真纯情//@uW0EHUIOG：  噗…好闷骚啊！！！你是宅男吗？！哈哈哈,,2012-01-02 19:47:32,,
mzqhiz3244,mNlgDbriOH,uK3RXUJ0V,,新浪微博,0,//@ukn：  轉發微博,,2012-01-02 19:46:07,,
mnzr1afca5,mGCSLMjPQD,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@ukn：  !!!!!!!!,,2012-01-02 19:38:17,,
mQW0upJ8CF,mdZXgX03qI,uK3RXUJ0V,,新浪微博,0,//@ukn：  //@uMLLV3ZCO：  [心],,2012-01-02 19:35:10,,
mt8Z9O0NPI,mL2ukV8Zwh,uK3RXUJ0V,,新浪微博,0,沒事吧?,,2012-01-02 19:33:07,,
muy8enPJaB,mjBQuUUday,uK3RXUJ0V,,新浪微博,0,><//@ukn：  最喜歡這張了！！！！！>/////<,,2012-01-02 19:31:45,,
m2Dii6y3B3,mP6R2venIs,uK3RXUJ0V,,新浪微博,0,@uK3RXUYW3： //@uBK1TNTG4：  嗯，一直都很亞撒西[心]//@uFAG44LJ： 小字：與相葉君一起去看了松本潤的舞台劇“啊，荒野”。“J很努力呢。演出結束後打了招呼就回去了。那天有完工宴。我和蜷川桑還有staff都認識，但是相葉君並不認識他們。如果我去參加完工宴，想著相葉君一個人要怎麼辦呢。於是就一起回去了。,,2012-01-02 19:30:16,,
